"id","idade","genero","estado_civil","renda_familiar","frequencia_cinema","cenario","preco_pequena","preco_media","preco_grande","escolha","valor_gasto","satisfacao","recompra"
65,"36-45","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
66,"18-25","Masculino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
67,"18-25","Feminino","Solteiro","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
68,"36-45","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
69,"26-35","Feminino","Casado","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Não"
70,"18-25","Masculino","Casado","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Não"
71,"18-25","Feminino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
72,"18-25","Masculino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
73,"18-25","Masculino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
74,"26-35","Feminino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
75,"18-25","Feminino","Casado","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Não"
76,"26-35","Feminino","Outros","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Baixa","Não"
77,"18-25","Feminino","Outros","Acima 10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
78,"18-25","Masculino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
79,"26-35","Feminino","Outros","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
80,"18-25","Feminino","Casado","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
81,"26-35","Feminino","Solteiro","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
82,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
83,"18-25","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
84,"26-35","Masculino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
85,"36-45","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
86,"26-35","Feminino","Casado","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
87,"18-25","Feminino","Solteiro","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Baixa","Não"
88,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
89,"18-25","Masculino","Solteiro","Até 2 SM","Semanalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
90,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
91,"26-35","Masculino","Solteiro","5-10 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
92,"18-25","Masculino","Solteiro","5-10 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
93,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
94,"46+","Feminino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
95,"46+","Feminino","Solteiro","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
96,"26-35","Masculino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
97,"18-25","Feminino","Solteiro","2-5 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
98,"26-35","Feminino","Outros","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
99,"26-35","Masculino","Casado","Acima 10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
100,"26-35","Feminino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
101,"26-35","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
102,"18-25","Feminino","Solteiro","Até 2 SM","Semanalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
103,"18-25","Masculino","Casado","Até 2 SM","Semanalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
104,"18-25","Masculino","Casado","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Sim"
105,"46+","Feminino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
106,"46+","Feminino","Solteiro","5-10 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
107,"26-35","Masculino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
108,"26-35","Masculino","Outros","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Baixa","Não"
109,"26-35","Masculino","Outros","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
110,"18-25","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
111,"26-35","Masculino","Solteiro","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Não"
112,"36-45","Masculino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
113,"36-45","Masculino","Casado","Acima 10 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
114,"26-35","Masculino","Solteiro","2-5 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
115,"26-35","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
116,"26-35","Masculino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
117,"18-25","Feminino","Casado","Até 2 SM","Raramente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Não"
118,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Não"
119,"26-35","Masculino","Casado","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
120,"36-45","Feminino","Solteiro","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
121,"18-25","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
122,"18-25","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
123,"26-35","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
124,"26-35","Masculino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
125,"26-35","Feminino","Casado","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
126,"18-25","Masculino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
127,"46+","Feminino","Casado","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
128,"46+","Feminino","Outros","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
129,"18-25","Feminino","Solteiro","Acima 10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
130,"26-35","Feminino","Solteiro","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
131,"46+","Feminino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
132,"26-35","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
133,"26-35","Feminino","Outros","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
134,"46+","Masculino","Outros","Acima 10 SM","Semanalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
135,"36-45","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
136,"26-35","Masculino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
137,"36-45","Masculino","Solteiro","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
138,"18-25","Masculino","Casado","Acima 10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
139,"36-45","Feminino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
140,"26-35","Feminino","Solteiro","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
141,"18-25","Masculino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
142,"18-25","Masculino","Solteiro","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Baixa","Não"
143,"26-35","Masculino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
144,"36-45","Feminino","Outros","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
145,"26-35","Feminino","Solteiro","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Não"
146,"36-45","Masculino","Solteiro","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
147,"18-25","Feminino","Casado","Até 2 SM","Raramente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
148,"46+","Masculino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
149,"18-25","Masculino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
150,"18-25","Feminino","Casado","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
151,"26-35","Masculino","Casado","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
152,"18-25","Masculino","Casado","2-5 SM","Semanalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
153,"36-45","Feminino","Solteiro","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
154,"18-25","Feminino","Casado","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
155,"26-35","Feminino","Outros","5-10 SM","Raramente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
156,"36-45","Masculino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
157,"18-25","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
158,"18-25","Feminino","Casado","5-10 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
159,"18-25","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
160,"26-35","Masculino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
161,"46+","Masculino","Solteiro","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
162,"26-35","Masculino","Casado","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Não"
163,"26-35","Feminino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
164,"18-25","Masculino","Solteiro","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
165,"26-35","Feminino","Solteiro","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
166,"18-25","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
167,"26-35","Feminino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
168,"18-25","Masculino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
169,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
170,"18-25","Feminino","Solteiro","Até 2 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
171,"26-35","Feminino","Casado","Até 2 SM","Semanalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
172,"18-25","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
173,"18-25","Feminino","Solteiro","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
174,"26-35","Masculino","Casado","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
175,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
176,"18-25","Feminino","Casado","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
177,"36-45","Feminino","Casado","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
178,"26-35","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
179,"36-45","Masculino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
180,"36-45","Feminino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
181,"46+","Feminino","Casado","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
182,"36-45","Masculino","Casado","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
183,"18-25","Feminino","Casado","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
184,"18-25","Masculino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
185,"26-35","Feminino","Solteiro","Até 2 SM","Semanalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
186,"26-35","Masculino","Outros","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
187,"46+","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
188,"36-45","Feminino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
189,"18-25","Masculino","Solteiro","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Não"
190,"18-25","Masculino","Outros","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
191,"18-25","Masculino","Solteiro","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
192,"36-45","Feminino","Casado","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Não"
193,"18-25","Masculino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
194,"18-25","Masculino","Casado","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
195,"18-25","Masculino","Solteiro","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Não"
196,"18-25","Feminino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
197,"26-35","Feminino","Solteiro","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
198,"18-25","Feminino","Solteiro","5-10 SM","Raramente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
199,"26-35","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
200,"26-35","Feminino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
201,"36-45","Feminino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
202,"26-35","Masculino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
203,"36-45","Feminino","Casado","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
204,"18-25","Feminino","Casado","Acima 10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
205,"18-25","Feminino","Solteiro","5-10 SM","Raramente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
206,"18-25","Masculino","Solteiro","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
207,"46+","Feminino","Solteiro","5-10 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
208,"26-35","Feminino","Outros","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
209,"18-25","Masculino","Solteiro","5-10 SM","Raramente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
210,"18-25","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
211,"26-35","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
212,"26-35","Feminino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
213,"18-25","Feminino","Casado","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
214,"18-25","Feminino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
215,"26-35","Feminino","Casado","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
216,"36-45","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
217,"26-35","Masculino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
218,"18-25","Feminino","Solteiro","5-10 SM","Raramente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
219,"26-35","Masculino","Solteiro","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
220,"36-45","Feminino","Solteiro","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
221,"26-35","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
222,"18-25","Feminino","Solteiro","2-5 SM","Semanalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
223,"26-35","Masculino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
